year,city,country,avg_temp,MA-7-city
1796,Bangalore,India,24.49,
1797,Bangalore,India,25.18,
1798,Bangalore,India,24.65,
1799,Bangalore,India,24.81,
1800,Bangalore,India,24.85,
1801,Bangalore,India,24.49,
1802,Bangalore,India,25.44,24.84428571
1803,Bangalore,India,25.22,24.94857143
1804,Bangalore,India,25.67,25.01857143
1805,Bangalore,India,25.01,25.07
1806,Bangalore,India,24.87,25.07857143
1807,Bangalore,India,24.25,24.99285714
1813,Bangalore,India,24.23,24.95571429
1814,Bangalore,India,23.91,24.73714286
1815,Bangalore,India,23.79,24.53285714
1816,Bangalore,India,23.3,24.19428571
1817,Bangalore,India,23.6,23.99285714
1818,Bangalore,India,23.94,23.86
1819,Bangalore,India,23.86,23.80428571
1820,Bangalore,India,23.91,23.75857143
1821,Bangalore,India,24.4,23.82857143
1822,Bangalore,India,24.33,23.90571429
1823,Bangalore,India,24.62,24.09428571
1824,Bangalore,India,25.1,24.30857143
1825,Bangalore,India,24.69,24.41571429
1826,Bangalore,India,24.88,24.56142857
1827,Bangalore,India,24.67,24.67
1828,Bangalore,India,24.61,24.7
1829,Bangalore,India,24.46,24.71857143
1830,Bangalore,India,24.39,24.68571429
1831,Bangalore,India,24.43,24.59
1832,Bangalore,India,24.66,24.58571429
1833,Bangalore,India,24.46,24.52571429
1834,Bangalore,India,24.59,24.51428571
1835,Bangalore,India,23.89,24.41142857
1836,Bangalore,India,24.12,24.36285714
1837,Bangalore,India,24.13,24.32571429
1838,Bangalore,India,24.29,24.30571429
1839,Bangalore,India,24.24,24.24571429
1840,Bangalore,India,24.24,24.21428571
1841,Bangalore,India,24.05,24.13714286
1842,Bangalore,India,24.22,24.18428571
1843,Bangalore,India,23.99,24.16571429
1844,Bangalore,India,24.23,24.18
1845,Bangalore,India,24.46,24.20428571
1846,Bangalore,India,24.9,24.29857143
1847,Bangalore,India,24.35,24.31428571
1848,Bangalore,India,24.35,24.35714286
1849,Bangalore,India,24.32,24.37142857
1850,Bangalore,India,24.38,24.42714286
1851,Bangalore,India,24.45,24.45857143
1852,Bangalore,India,24.43,24.45428571
1853,Bangalore,India,24.67,24.42142857
1854,Bangalore,India,24.73,24.47571429
1855,Bangalore,India,24.75,24.53285714
1856,Bangalore,India,24.21,24.51714286
1857,Bangalore,India,23.87,24.44428571
1858,Bangalore,India,24.59,24.46428571
1859,Bangalore,India,24.55,24.48142857
1860,Bangalore,India,24.41,24.44428571
1861,Bangalore,India,24.21,24.37
1862,Bangalore,India,23.59,24.20428571
1865,Bangalore,India,25.06,24.32571429
1866,Bangalore,India,25,24.48714286
1867,Bangalore,India,24.96,24.54
1868,Bangalore,India,25.07,24.61428571
1869,Bangalore,India,24.92,24.68714286
1870,Bangalore,India,24.42,24.71714286
1871,Bangalore,India,24.47,24.84285714
1872,Bangalore,India,24.48,24.76
1873,Bangalore,India,24.51,24.69
1874,Bangalore,India,24.56,24.63285714
1875,Bangalore,India,24.64,24.57142857
1876,Bangalore,India,24.84,24.56
1877,Bangalore,India,25.23,24.67571429
1878,Bangalore,India,25.15,24.77285714
1879,Bangalore,India,24.39,24.76
1880,Bangalore,India,24.58,24.77
1881,Bangalore,India,24.76,24.79857143
1882,Bangalore,India,24.33,24.75428571
1883,Bangalore,India,24.25,24.67
1884,Bangalore,India,24.35,24.54428571
1885,Bangalore,India,24.62,24.46857143
1886,Bangalore,India,24.53,24.48857143
1887,Bangalore,India,24.31,24.45
1888,Bangalore,India,24.63,24.43142857
1889,Bangalore,India,24.73,24.48857143
1890,Bangalore,India,24.46,24.51857143
1891,Bangalore,India,24.95,24.60428571
1892,Bangalore,India,24.59,24.6
1893,Bangalore,India,24.38,24.57857143
1894,Bangalore,India,24.75,24.64142857
1895,Bangalore,India,24.78,24.66285714
1896,Bangalore,India,25.12,24.71857143
1897,Bangalore,India,25.3,24.83857143
1898,Bangalore,India,24.87,24.82714286
1899,Bangalore,India,24.74,24.84857143
1900,Bangalore,India,25.44,25
1901,Bangalore,India,25.09,25.04857143
1902,Bangalore,India,25.06,25.08857143
1903,Bangalore,India,24.82,25.04571429
1904,Bangalore,India,24.53,24.93571429
1905,Bangalore,India,24.92,24.94285714
1906,Bangalore,India,25.09,24.99285714
1907,Bangalore,India,24.74,24.89285714
1908,Bangalore,India,24.66,24.83142857
1909,Bangalore,India,24.61,24.76714286
1910,Bangalore,India,24.42,24.71
1911,Bangalore,India,24.76,24.74285714
1912,Bangalore,India,25,24.75428571
1913,Bangalore,India,25,24.74142857
1914,Bangalore,India,25.02,24.78142857
1915,Bangalore,India,25.22,24.86142857
1916,Bangalore,India,24.75,24.88142857
1917,Bangalore,India,24.46,24.88714286
1918,Bangalore,India,24.74,24.88428571
1919,Bangalore,India,25.06,24.89285714
1920,Bangalore,India,24.99,24.89142857
1921,Bangalore,India,24.88,24.87142857
1922,Bangalore,India,24.74,24.80285714
1923,Bangalore,India,24.84,24.81571429
1924,Bangalore,India,24.89,24.87714286
1925,Bangalore,India,24.69,24.87
1926,Bangalore,India,25.14,24.88142857
1927,Bangalore,India,25.06,24.89142857
1928,Bangalore,India,25.06,24.91714286
1929,Bangalore,India,24.87,24.93571429
1930,Bangalore,India,24.86,24.93857143
1931,Bangalore,India,25.24,24.98857143
1932,Bangalore,India,24.68,24.98714286
1933,Bangalore,India,24.61,24.91142857
1934,Bangalore,India,24.81,24.87571429
1935,Bangalore,India,24.93,24.85714286
1936,Bangalore,India,24.99,24.87428571
1937,Bangalore,India,24.96,24.88857143
1938,Bangalore,India,24.91,24.84142857
1939,Bangalore,India,24.84,24.86428571
1940,Bangalore,India,24.92,24.90857143
1941,Bangalore,India,25.55,25.01428571
1942,Bangalore,India,25.23,25.05714286
1943,Bangalore,India,24.69,25.01428571
1944,Bangalore,India,24.92,25.00857143
1945,Bangalore,India,25.05,25.02857143
1946,Bangalore,India,24.97,25.04714286
1947,Bangalore,India,25.02,25.06142857
1948,Bangalore,India,25.21,25.01285714
1949,Bangalore,India,24.92,24.96857143
1950,Bangalore,India,24.85,24.99142857
1951,Bangalore,India,25.03,25.00714286
1952,Bangalore,India,25.12,25.01714286
1953,Bangalore,India,25.18,25.04714286
1954,Bangalore,India,24.92,25.03285714
1955,Bangalore,India,24.78,24.97142857
1956,Bangalore,India,24.73,24.94428571
1957,Bangalore,India,25.11,24.98142857
1958,Bangalore,India,25.29,25.01857143
1959,Bangalore,India,25.24,25.03571429
1960,Bangalore,India,25.07,25.02
1961,Bangalore,India,24.97,25.02714286
1962,Bangalore,India,24.9,25.04428571
1963,Bangalore,India,25.04,25.08857143
1964,Bangalore,India,25.09,25.08571429
1965,Bangalore,India,25.04,25.05
1966,Bangalore,India,25.32,25.06142857
